                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.78108,                 1.1205,                 1.1784,                0.91329,                0.83853,                0.94188,                0.78162,                0.79404,                0.65323,                 1.2097,              0.0096733,              0.0096733,              0.0096733
                     35,                0.77314,                 1.0826,                 1.1755,                0.84899,                0.86173,                 0.9462,                0.73531,                0.92281,                0.74258,                 1.3197,              0.0096634,              0.0096634,              0.0096634
                     36,                0.76033,                 1.0545,                 1.1602,                0.84453,                0.87994,                0.92939,                0.75332,                0.85653,                  0.713,                 1.2707,              0.0096535,              0.0096535,              0.0096535
                     37,                0.76473,                 1.0439,                 1.1634,                0.89235,                0.89365,                0.95408,                0.75172,                0.88813,                0.67007,                 1.2956,              0.0096436,              0.0096436,              0.0096436
                     38,                0.75874,                 1.0549,                  1.159,                  0.862,                0.85947,                0.93306,                 0.7572,                0.85259,                0.68149,                 1.2641,              0.0096337,              0.0096337,              0.0096337
                     39,                0.76103,                 1.0265,                  1.158,                0.86868,                0.85532,                0.93502,                0.75564,                0.85548,                0.70456,                 1.2503,              0.0096238,              0.0096238,              0.0096238
                     40,                0.74823,                0.99863,                 1.1515,                0.82236,                0.80495,                0.90212,                0.68229,                0.99143,                 0.8552,                 1.4035,              0.0096139,              0.0096139,              0.0096139
                     41,                0.77156,                 1.0117,                 1.1733,                0.87881,                0.87065,                0.92945,                0.73699,                0.90206,                0.68078,                 1.2986,               0.009604,               0.009604,               0.009604
                     42,                0.74644,                0.97949,                 1.1562,                0.88671,                0.85119,                0.94541,                0.75345,                0.88966,                0.65216,                 1.2678,              0.0095941,              0.0095941,              0.0095941
                     43,                0.74967,                0.98404,                 1.1519,                0.89171,                0.89234,                 0.9438,                0.75713,                0.91426,                0.63339,                 1.3153,              0.0095842,              0.0095842,              0.0095842
                     44,                0.75062,                0.98586,                 1.1507,                0.84868,                0.88248,                0.93672,                0.76004,                0.85499,                0.70104,                 1.2406,              0.0095743,              0.0095743,              0.0095743
                     45,                0.75971,                0.97303,                  1.163,                0.89232,                0.84583,                0.93784,                0.72407,                0.98271,                0.72774,                 1.3656,              0.0095644,              0.0095644,              0.0095644
                     46,                0.73568,                0.93404,                 1.1468,                    0.9,                0.83557,                0.93891,                0.74263,                0.93265,                  0.697,                 1.3429,              0.0095545,              0.0095545,              0.0095545
                     47,                0.73171,                0.93919,                 1.1507,                0.91539,                0.84395,                0.94939,                0.71356,                 1.0338,                0.73643,                 1.4213,              0.0095446,              0.0095446,              0.0095446
                     48,                0.73196,                0.94597,                 1.1373,                0.86719,                0.85617,                0.93716,                0.72589,                0.96619,                0.69208,                 1.3673,              0.0095347,              0.0095347,              0.0095347
                     49,                0.74087,                0.94743,                 1.1461,                0.87706,                0.83892,                0.94754,                0.74466,                0.92178,                0.71707,                 1.3201,              0.0095248,              0.0095248,              0.0095248
                     50,                0.72015,                0.91695,                 1.1395,                0.86275,                  0.897,                0.94246,                0.74986,                0.95213,                0.68361,                 1.3394,              0.0095149,              0.0095149,              0.0095149
                     51,                0.71939,                 0.9131,                 1.1409,                0.88635,                0.89329,                0.94251,                0.77557,                 0.7985,                0.62972,                 1.2093,               0.009505,               0.009505,               0.009505
                     52,                0.72181,                0.90241,                  1.138,                0.92446,                0.85647,                0.95602,                0.75299,                0.92064,                0.63209,                 1.3424,              0.0094951,              0.0094951,              0.0094951
                     53,                0.72745,                0.87749,                 1.1329,                0.85055,                0.88182,                0.93817,                0.74546,                 0.9121,                0.66804,                 1.3099,              0.0094852,              0.0094852,              0.0094852
                     54,                0.71686,                0.87532,                 1.1345,                0.91507,                0.83988,                0.94123,                 0.7505,                0.90515,                0.64506,                 1.3032,              0.0094753,              0.0094753,              0.0094753
                     55,                0.71886,                0.88357,                 1.1376,                0.84265,                0.88588,                0.94937,                0.75232,                0.88568,                0.65533,                 1.2632,              0.0094654,              0.0094654,              0.0094654
                     56,                0.71093,                0.87702,                 1.1269,                0.91585,                0.87277,                0.94065,                0.75602,                0.86776,                0.57644,                 1.2618,              0.0094555,              0.0094555,              0.0094555
                     57,                0.73128,                0.87598,                 1.1408,                0.93086,                    0.9,                0.95871,                0.74712,                0.94224,                0.57585,                 1.2966,              0.0094456,              0.0094456,              0.0094456
                     58,                0.71531,                0.85589,                 1.1342,                0.84983,                0.86539,                0.94044,                0.77706,                0.81893,                0.71147,                 1.2094,              0.0094357,              0.0094357,              0.0094357
                     59,                0.70574,                0.84922,                  1.114,                0.90458,                 0.8493,                0.91767,                0.71575,                0.97007,                0.75163,                 1.3713,              0.0094258,              0.0094258,              0.0094258
                     60,                0.68924,                0.80872,                 1.1142,                 0.8987,                0.84617,                0.93003,                0.73006,                0.94423,                0.67577,                 1.3296,              0.0094159,              0.0094159,              0.0094159
                     61,                 0.7031,                0.84075,                 1.1245,                0.88795,                0.87623,                0.95388,                0.75895,                0.89465,                0.58152,                 1.3074,               0.009406,               0.009406,               0.009406
                     62,                 0.7068,                0.82437,                 1.1287,                0.92831,                0.90106,                0.96111,                 0.7523,                0.95255,                0.59428,                 1.3852,              0.0093961,              0.0093961,              0.0093961
                     63,                0.71104,                0.85685,                 1.1301,                0.88089,                0.87406,                0.95365,                 0.7528,                0.91797,                0.59019,                 1.3214,              0.0093862,              0.0093862,              0.0093862
                     64,                0.69726,                0.84095,                 1.1226,                0.88452,                 0.8909,                0.95039,                0.76241,                0.89559,                0.59812,                 1.2943,              0.0093763,              0.0093763,              0.0093763
                     65,                0.70985,                0.83651,                 1.1331,                 0.8865,                0.88102,                0.95326,                0.77547,                0.84726,                0.57854,                 1.2502,              0.0093664,              0.0093664,              0.0093664
                     66,                0.68897,                0.82249,                 1.1223,                0.87048,                0.86746,                0.94595,                0.74749,                0.91933,                0.62723,                 1.3202,              0.0093565,              0.0093565,              0.0093565
                     67,                0.70091,                0.80775,                 1.1211,                0.92754,                0.86006,                0.94401,                0.77858,                0.82604,                0.53369,                 1.2473,              0.0093466,              0.0093466,              0.0093466
